row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
4451161	17	REALIZABLE	walk	25.64	1024	yes	yes				
4454084	17	REALIZABLE	walk	2.03	1024	yes	yes				
4456288	19	REALIZABLE	walk	46.62	1024	yes	yes				
4468620	19	REALIZABLE	store_walk	1.05	256	yes	yes				
4475757	18	REALIZABLE	walk	2.18	1024	yes	yes				
4487690	16	REALIZABLE	walk	16.69	8192	yes	yes				
4500573	15	REALIZABLE	walk	2.72	1024	yes	yes				
4517357	19	REALIZABLE	store_walk	1.20	4096	yes	yes				
4541944	18	REALIZABLE	walk	1.40	16384	yes	yes				
4546369	16	REALIZABLE	store_walk	0.44	16384	yes	yes				
4555132	17	REALIZABLE	walk	156.99	262144	yes	yes				
4568826	20	REALIZABLE	walk	14.59	64	yes	yes				
4570179	22	REALIZABLE	walk	2.45	16384	yes	yes				
4603165	19	REALIZABLE	walk	1.50	16384	yes	yes				
4638320	20	REALIZABLE	walk	7.78	1024	yes	yes				
4655856	20	REALIZABLE	walk	17.92	1024	yes	yes				
4656434	17	REALIZABLE	walk	5.96	1024	yes	yes				
4660787	19	REALIZABLE	walk	21.13	16384	yes	yes				
4699676	20	REALIZABLE	walk	4.72	1024	yes	yes				
4748789	15	REALIZABLE	store_walk	0.31	4096	yes	yes				
4764650	20	REALIZABLE	walk	6.50	256	yes	yes				
4769844	17	REALIZABLE	walk	2.69	1024	yes	yes				
4779869	18	REALIZABLE	store_walk	3.28	16384	yes	yes				
4781467	19	REALIZABLE	walk	8.99	1024	yes	yes				
4804428	22	REALIZABLE	fresh	1.36	512	yes	yes				
4811069	19	REALIZABLE	walk	1.40	262144	yes	yes				
4824476	23	REALIZABLE	walk	34.03	1024	yes	yes				
4829527	19	REALIZABLE	fresh	1.29	16384	yes	yes				
4829901	20	REALIZABLE	walk	4.59	1024	yes	yes				
4836120	17	REALIZABLE	walk	2.48	16384	yes	yes				
4857807	20	REALIZABLE	walk	18.29	16384	yes	yes				
4869075	19	REALIZABLE	walk	11.36	16384	yes	yes				
4869658	22	REALIZABLE	walk	6.92	1024	yes	yes				
4869659	21	REALIZABLE	walk	1.17	1024	yes	yes				
4873812	18	REALIZABLE	walk	4.83	1024	yes	yes				
4979988	20	REALIZABLE	store_walk	1.21	16384	yes	yes				
4993531	15	REALIZABLE	walk	6.43	16384	yes	yes				
5000657	17	REALIZABLE	walk	1.73	262144	yes	yes				
5026440	19	REALIZABLE	walk	25.35	16384	yes	yes				
5026671	18	REALIZABLE	walk	2.69	1024	yes	yes				
5026863	17	REALIZABLE	walk	1.82	16384	yes	yes				
5057183	23	REALIZABLE	fresh	1.92	1024	yes	yes				
5062436	15	REALIZABLE	store_walk	0.65	1024	yes	yes				
5083477	19	REALIZABLE	walk	8.08	1024	yes	yes				
5100633	16	REALIZABLE	walk	4.48	8192	yes	yes				
